,shopcode,shopname,shoplat,shoplng
7614,d1ri,藍盤子早午餐 (嘉義文化店),23.4947583,120.44380715
7615,y9ry,九湯屋日式拉麵 (台中中美店),24.14857985,120.66020341
7616,fitx,朝思暮越 (新北蘆洲店),25.0792682,121.471411
7617,jted,台灣番薯丸手作地瓜球 (台南歸仁店),22.96805882,120.29233447
7618,a2km,小茶齋 (台中上石店),24.17089605,120.64664925
7619,tdxu,有煎肉蛋堡 (台中嶺東店),24.1382727,120.6114406
7620,s1ay,御品一番炸（旗山店）,22.88490658,120.483335
7621,enus,弘拉麵,24.2268953,120.5749476
7622,nivz,春松水果店 (淡水淡金店),25.16186859,121.4581011
7623,s43q,十二段鍋物 (彰化介壽店),24.0696726,120.54793805
7624,ea7u,飽米便當南郭店,24.0740049,120.5484975
7625,e8je,愛將平價牛排（台中東海店）,24.18117155,120.58779095
7626,qgyw,茶湯會 (台中向上二店),24.14700337,120.63723828
7627,mwdh,霸王功夫雞專門店 (新莊富國店),25.0245096,121.42438528
7628,rygy,點22 HONG KONG DIM SUM (新北三重店),25.0693521,121.4957349
7629,j2rs,弘爺漢堡 (大社金龍店),22.7236583,120.3534657
7630,z4mc,溫州大餛飩 (新竹新豐店),24.8673774,120.993371
7631,c6nm,粉猿烏龍麵,25.0401337,121.5626573
7632,k0rn,彰化木瓜牛乳大王 (中正總店),24.0786188,120.53733949
7633,ffyt,炒飯軍團 (新北三重店),25.0663301,121.4934379
7634,rrbr,蔬軾創意料理 (大安安和店),25.0282013,121.550801
7635,x5um,樂台羽茶 (燕巢中民店),22.7933001,120.36024871
7636,lbb5,大戶屋 (新莊佳瑪店),25.04920908,121.44827465
7637,a6gu,搗飛豆花 (大安和平店),25.0229931,121.5429334
7638,tdxi,Teas’原味 (彰化花壇店),24.02598955,120.5403401
7639,kz2s,Mister Donut (竹北遠百店),24.82265568,121.02392182
7640,s2cc,溫州大餛飩 (新北宜安店),24.99856512,121.50951095
7641,r40o,呷粗飽美食館,24.5489171,120.8161845
7642,jqv8,悟饕池上飯包 (台南仁德二店),22.9543432,120.252411
7643,y3ik,冉冉日嚐,24.68758276,120.90204365
7644,w46j,肯德基KFC漢堡廚房 (雲林虎尾店),23.7096511,120.4365057
7645,o8pz,草本茶 (竹北勝利店),24.8233845,121.0269654
7646,ldd0,Old coffee X 銅門燒烤,24.5717177,120.8207903
7647,co9w,雙饗丼 (新竹寶山店),24.78490148,120.99019434
7648,nwen,可不可熟成紅茶 (苗栗苑裡店),24.44311485,120.65244365
7649,y2em,黑武藏壽司 (桃園中正店),25.00241234,121.30628472
7650,wrmm,弘軒餐館,24.21155286,120.70539482
7651,cn5h,諾姆精品茶飲,24.83037287,121.0083138
7652,h2jy,樂成雞肉飯,23.03076836,120.21144077
7653,qc1p,老翁原汁牛肉麵店,25.081626,121.460815
